"SERVICE","VENDOR NAME","VENDOR PHONE #","","","","","","","","","","","","","","","","","","","","","","","",""
"Appliance Repair 1","North Shore Appliance Repair","516-248-5900","","Note: This list is a compilation of recommendations provided by RCC residents in our whatsapp or FB chat.","","","","","","","","","","","","","","","","","","","","","",""
"Appliance Repair 2","Sterling Service Group","516-990-2917","","","","","","","","","","","","","","","","","","","","","","","",""
"Appliance Repair 3","Jay","516-637-4474","","","","","","","","","","","","","","","","","","","","","","","",""
"Architect","Matthew Korn","516-340-6400","","","","","","","","","","","","","","","","","","","","","","","",""
"Assembler","Robert (Assembles anything, play/swing sets, gazebos, furniture)","516-445-4944","","","","","","","","","","","","","","","","","","","","","","","",""
"Auto Lease 1","eAutoLease (Zoriy)","","","","","","","","","","","","","","","","","","","","","","","","",""
"Auto Lease 2","Mark Sherman Leasing","917-559-4273","","","","","","","","","","","","","","","","","","","","","","","",""
"Auto Repair","East Coast Auto Repair (Alex)","917-687-1065","","","","","","","","","","","","","","","","","","","","","","","",""
"Backflow Inspection 1","Tony","516-395-7399","","","","","","","","","","","","","","","","","","","","","","","",""
"Backflow Inspection 2","C&C Spinkler does backflow test","516-334-2042","","","","","","","","","","","","","","","","","","","","","","","",""
"Basketball Hoop Install","Anthony Vega","631-519-4874","","","","","","","","","","","","","","","","","","","","","","","",""
"Blinds","Lane (Hunter Douglas Blinds - Install/Repair/Cleaning)","516-996-9008","","","","","","","","","","","","","","","","","","","","","","","",""
"Car Washing Detailing (Mobile)","Ricco (Island Detailing)","516-503-4660","","","","","","","","","","","","","","","","","","","","","","","",""
"Cell phone Broken Glass","ifixscreens.com (various locations)","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chandelier Install & Cleaning","Robert (Chadelier Pros)","917-418-6015","","","","","","","","","","","","","","","","","","","","","","","",""
"Closets 1","Closet by Design","631-242-4302","","","","","","","","","","","","","","","","","","","","","","","",""
"Closets 2","Debbie Sanders Closet Design","516-382-4758","","","","","","","","","","","","","","","","","","","","","","","",""
"Covid Testing","Sunoco Gas (RCC Neighbor's) - 2 Jericho Tpke Mineola","","","","","","","","","","","","","","","","","","","","","","","","",""
"Covid Vaccines","Statcare","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dentist","Da Vinci Dental Arts","516-877-7771","","","","","","","","","","","","","","","","","","","","","","","",""
"Dentist, Pediatric","Nazli Diba, DDS","516-231-1197","","","","","","","","","","","","","","","","","","","","","","","",""
"Dog Boarding (dog hotel) ","Little Paws of Hope (Westbury) ","516-519-5708","","","","","","","","","","","","","","","","","","","","","","","",""
"Electrician","Massimo Maggi of MM Spark","516-232-7877","","","","","","","","","","","","","","","","","","","","","","","",""
"Electrician","Borra Electric","516-746-0083","","","","","","","","","","","","","","","","","","","","","","","",""
"Electrician","Dominick (No Shorts Electric)","516-309-4999","","","","","","","","","","","","","","","","","","","","","","","",""
"Electrician","Harry","516-965-2621","","","","","","","","","","","","","","","","","","","","","","","",""
"Endodontist","Dr. Jordana Fleischer, Hillside Endodontics, New Hyde Park ","516-271-3688","","","","","","","","","","","","","","","","","","","","","","","",""
"Expeditor (Town of NH)","Scott Tirone","516-984-0121","","","","","","","","","","","","","","","","","","","","","","","",""
"Fence","Amendola Fence (ask for Cameron)","516-978-6603","","","","","","","","","","","","","","","","","","","","","","","",""
"Flooring","Floored NY (Ask for Todd)","516-244-9847","","","","","","","","","","","","","","","","","","","","","","","",""
"Glass","Paul (Glass repair)","917-771-7216","","","","","","","","","","","","","","","","","","","","","","","",""
"Gutter cleaning","Spottless Gutter Cleaning","516-695-5687","","","","","","","","","","","","","","","","","","","","","","","",""
"Hair Salon","De Lis Salon & Spa (RCC Resident owned!)","516-365-6500","","","","","","","","","","","","","","","","","","","","","","","",""
"Handyman 1","Handyman Hands (Jason)","516-520-4820","","","","","","","","","","","","","","","","","","","","","","","",""
"Handyman 2","Arie","516-984-9723","","","","","","","","","","","","","","","","","","","","","","","",""
"Home Staging","Janice Hauptman www.remixandmatch.com","917-855-3424","","","","","","","","","","","","","","","","","","","","","","","",""
"HVAC","Bob (Accurate Cooling)","516-593-1323","","","","","","","","","","","","","","","","","","","","","","","",""
"HVAC","Nova Quality Air (John) ","516-476-2047","","","","","","","","","","","","","","","","","","","","","","","",""
"Insurance Broker","Jonathan Vinokur (United Brokerage)","718-648-5300","","","","","","","","","","","","","","","","","","","","","","","",""
"Landscaping","Chica Landscape","516-902-8590","","","","","","","","","","","","","","","","","","","","","","","",""
"Locksmith","Kochavi (RCC Resident)","516-263-7770","","","","","","","","","","","","","","","","","","","","","","","",""
"Marble & Granite Sale & Fabrication","Prime Granite","917-933-1515","","","","","","","","","","","","","","","","","","","","","","","",""
"Masonry / Hardscaping / Paving","Flawless Masonry","631-366-3512","","","","","","","","","","","","","","","","","","","","","","","",""
"Movers","O'Shea Trucking & Movers","516-328-6141","","","","","","","","","","","","","","","","","","","","","","","",""
"Orthodontist","Lucarelli & Baresse","516-746-3204","","","","","","","","","","","","","","","","","","","","","","","",""
"Pharmacy","BesScription (They deliver)","866-237-9419","","","","","","","","","","","","","","","","","","","","","","","",""
"Plumber","Citiwide ","800-310-2564","","","","","","","","","","","","","","","","","","","","","","","",""
"Plumber","Ben Primiano","516-742-3435","","","","","","","","","","","","","","","","","","","","","","","",""
"Power Washing","Rashad","516-423-4548","","","","","","","","","","","","","","","","","","","","","","","",""
"Prom Dresses","Ask Alice Boutique, Outrageous Boutique, 2BSeen, Dress Gala, Designing Dreams","","","","","","","","","","","","","","","","","","","","","","","","",""
"Security (For a house party)","Sal","516-729-6067","","","","","","","","","","","","","","","","","","","","","","","",""
"Siding","Westbury Siding (Rob Cooley)","516-333-5421","","","","","","","","","","","","","","","","","","","","","","","",""
"Siding","King Quality","631-573-0642","","","","","","","","","","","","","","","","","","","","","","","",""
"Siding","Rebuild America (Bobby), Williston Park","516-535-9293","","","","","","","","","","","","","","","","","","","","","","","",""
"Snow Removal 1","Den","347-461-8021","","","","","","","","","","","","","","","","","","","","","","","",""
"Snow Removal 2","Segundo","347-479-8445","","","","","","","","","","","","","","","","","","","","","","","",""
"Snow Removal 3","Nelson","516-351-8206","","","","","","","","","","","","","","","","","","","","","","","",""
"Snow Removal 4","No name","917-288-9347","","","","","","","","","","","","","","","","","","","","","","","",""
"Sprinklers","Louie (United Lawn Sprinklers)","347-242-9639","","","","","","","","","","","","","","","","","","","","","","","",""
"Sprinklers 2","C&C Sprinklers","516-334-2042","","","","","","","","","","","","","","","","","","","","","","","",""
"Tailor 1","Josey's Tailoring on Willis Ave in Albertson","(516) 742-0097","","","","","","","","","","","","","","","","","","","","","","","",""
"Tree Removal 1","Danny Tree Removal","516-449-6390","","","","","","","","","","","","","","","","","","","","","","","",""
